Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
39,1.0,0.0,0.0,504.0,19.0,38.0,1111.0,0.1,434.22274079559685,0.0,0.0,204.37801313400269,,,,,,,,,,,,,,,,,,,,,213.86347059906512,142.67882433018764,426.9494007649614,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,535.0,20.0,31.0,1142.0,0.1,282.57800481154493,0.0,0.0,207.39693808555603,,,,,,,,,,,,,,,,,,,,,125.23763609357822,96.9305281811821,279.2538665719214,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,44.0,1.0,44.0,1186.0,0.1,562.3264874812204,0.0,0.0,296.90781259536743,,,,,,,,,,,,,,,,,,,,,285.077060756326,184.57385842495097,550.884314552733,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,67.0,2.0,23.0,1209.0,0.1,198.627225650678,0.0,0.0,299.26528000831604,,,,,,,,,,,,,,,,,,,,,91.68813560232988,66.41468900952579,196.9120256711411,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,95.0,3.0,28.0,1237.0,0.1,273.78330828913494,0.0,0.0,302.0334436893463,,,,,,,,,,,,,,,,,,,,,132.20801247540717,90.78890334429407,270.622458233833,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,123.0,4.0,28.0,1265.0,0.1,251.17579280353291,0.0,0.0,304.8595464229584,,,,,,,,,,,,,,,,,,,,,112.5198054575061,87.35332510453054,248.5220337962816,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,147.0,5.0,24.0,1289.0,0.1,180.72883420293687,0.0,0.0,307.2508716583252,,,,,,,,,,,,,,,,,,,,,71.49634536043311,64.27974820163975,179.3714855138287,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,178.0,6.0,31.0,1320.0,0.1,338.64416176084353,0.0,0.0,310.37298798561096,,,,,,,,,,,,,,,,,,,,,167.40526672538664,110.3211644681279,334.1225093886246,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,206.0,7.0,28.0,1348.0,0.1,209.99919574135802,0.0,0.0,313.26814317703247,,,,,,,,,,,,,,,,,,,,,78.6979515292272,74.12675506136789,208.211868623919,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,238.0,8.0,32.0,1380.0,0.1,326.3103211001002,0.0,0.0,316.3857023715973,,,,,,,,,,,,,,,,,,,,,150.1309015205216,108.96689724600394,322.15011032197737,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
